id,type,text,label
18,phishing,Migrasikan kartu Anda ke kartuHalo (NOMOR TETAP SAMA). DAPATKAN Paket Spesial 4GB Hanya 25rb/bulan. kunjungi GraPARI & tunjukan SMS ini.(Promo Terbatas).SKB,1
19,safe,Ada yang 400 rb yang kamar mandinya sama2 kalau yang ada kamar mandi di dalam kalau yang kecil 600 dan yang agak besar 700 rb,0
20,safe,Mba mau kirim 300 ya,0
21,safe,22nya mad. Aku bingung bkn laporannya 😂,0
22,safe,Min lg dmn? Mo ngambil sertifikat yg kompas hihu,0
23,phishing,"ANEKA SHOP Berbagi Promo Type Blackberry DAKOTA 2,4 jt, TOURCH 1,7 jt, ONIX.2 1,5 jt, GEMINI 800 rb, U/Pemesanan 085325557999 Pin BB-2A96DE82 www.aneka999.blogspot.com",1
24,phishing,"Pelanggan yth,saya mba muliani operator Tri. Telah menghubungi anda tapi tidak tersambung jadi informasi ini saya sampaikan lewat SMS sebelum hadiahnya jatuh tempo. Selamat nomor Tri anda menang undian dr pesta isi ulang pulsa,Pin pemenang (25b17h) segera hubungi kantor Tri jakarta. Tlp; 089660608887 info klik: www.3tricard.blogspot.com",1
25,phishing,"RM0 Pengguna yang dihormati, anda telah memenangi hadiah kedua Sambutan Ulang Tahun Shopee Mall dan menerima hadiah bernilai RM18888 dan sebuah iPhone 16. Kod pengesahan untuk menuntut hadiah ialah 156888. Sila log masuk ke https://shopee-myl.vip/my untuk menuntut hadiah.",1
26,phishing,RM0 [POS MALAYSIA) Your package has been left unclaimed for 24 hours due to a missing address. Please update your address for re-delivery:https://rb.gy/rzid1b (Otherwise the package will be returned),1
27,phishing,Nikmati Disc.40% utk Dominos Pizza Premium BIG PARTY WEEKEND.Harga Mulai Rp.48rb.Berlaku dine in/take away s/d 8 May'16.Kunjungi store terdekat/hubungi 1500366,1
28,phishing,Internetan puas kapan aja buat kamu yang butuh kuota besar. Paket SUMO 30GB 30hari semua jaringan. Beli di *123*3*3#. Info 123. D956,1
29,safe,haiii sepupu belah ayah sini 😆 lama tak sembang kan,0
30,phishing,Slmt!! No Anda Men-dptkan Hadiah dr Pengundian Poin Plus Plus INDOSAT No Pin(d377hi8)Utk info Pemenang silahkan klik www.kejutan-indosatpoinplus2013.webs.com,1
31,phishing,No.ID Pengisian pulsa M-Tronil Anda (672AT88) Mendapatkan HADIAH PROGRAM Poin isi ulang M-Tronik U/info Resmi Pemenang klik www.isiulangmtronik.webs.com,1
32,phishing,"Raih smartphone, diskon merchant & free internet, voice, SMS di Promo 71 Tahun RI dengan tukar 17 Telkomsel POIN mulai 15Ags16 hanya di MyTelkomsel Apps",1
33,phishing,"Penawaran terbatas software SMS gateway utk iklan SMS, pilkada, sekolah, instansi, kampus dll. Harga promo rp. 100.000 hub:jasa advertising corp 085727088813 24jam.",1
34,phishing,"Salam sejahtera! Nama saya <name>, Perekrut Sumber Manusia di agensi Zeno PR, dan saya difahamkan daripada Suruhanjaya Perkhidmatan Awam bahawa anda sedang mencari pekerjaan.",1
35,safe,"nama1 titip pesan, jumat pagi kita kumpul trus bapa minta tolong ke kita buat bareng2 bujuk nama1 kuliah lagi",0
36,safe,nak tanya,0
37,safe,"Assalamualaikum Bu. Saya nama1 mhsi ilkom 2012 baru dpt pembimbing skripsi. Mohon maaf bu, kalau minggu ini ada di kampus hari ap aj Bu? Terima kasih.",0
38,phishing,BONUS PULSA 10RB! Ayo isi pulsa min. 5rb & dapetkan bonus pulsa 10rb utk nelp ke nmr Tri! Hanya hari ini saja! Ayo buruan isi pulsa! T530,1
39,safe,"aku push yang updatenya, itu udah di template sama adminLTE.",0
40,safe,faham. boleh jadi gini jugak sebab kalau setakat decide je then madam kasi letter takut company tu pulak reject,0
41,phishing,"RM0 Anda telah memenangi harga RM100! Untuk menuntut, sila layari: <link>",1
42,safe,Ada perasaan nyesel gt sedikit. Waktu kuliah. Asa ga merhatin. Ga ngerangkul semua. Aku pribadi hmm,0
43,phishing,"Terima kasih tlh melakukan isi ulang tgl. 20.02.2016. GRATIS NELPON 60Menit+VIDEO, tekan *900*9# lalu YES/OK",1
44,phishing,Notis Kesihatan: Pemeriksaan vaksin anda dijadualkan semula. Sahkan kehadiran di <fake-link>,1
45,safe,manual letak,0
46,phishing,Mainkan terus gamesmu & beli sebanyak2nya apps/in-apps di Google Play Store,1
47,phishing,"Yang lain penuh batasan,kami beri kebebasa n. DOUBLE KUOTA BONUS 10GB(4G), UNLIMITED Nelp&SMS, Musik streaming gak pakai Kuota!cuma dg FREEDOM COMBO. Daftar*123#",1
48,safe,"udah di benerin, kamu jangan sync dulu. backup filenya baru sync terus push dengan file kamu.",0
49,safe,Sundae min sirup kiwi pake cochochips :*,0
50,safe,Guys di bdg ada studi foto yg gini gaaak,0
51,safe,Besok kekantor saya tunggu jam 9 ya..,0
52,phishing,"Hello. Saya Jay dari LinkedIn. Resume anda menarik perhatian syarikat kami.Untuk interview cepat, sila isi borang ringkas di pautan berikut: <link>",1
53,phishing,"Nikmati Combo Wendy's Fried Chicken, nasi dan minum hanya Rp. 19.000 periode 13-19 Juni'16.Tukarkan SMS ini di Wendy's terdekat! Persediaan terbatas.Promo *606#",1
54,phishing,Pesan Resmi M-KIOS Sim Card Anda Menang Hadiah ke4 Cek 100jt Dari Promo M-KIOS PIN:M7H7R47 hub:Ir.H.SURIANTO 0823 8777 5019 klik: www.kjtn-mkiosjkt.blogspot.com,1
55,safe,Aku mau nyari data yang dibutuhin dari tabel mana aja.,0
56,safe,Mul snack satu lagi teteh kasih rafael ya,0
57,phishing,"PESAN RESMI dri TRI 3Care, Slmt Anda mdpt Hadiah 1 Unit Mobil HONDA JAZZ RS. No.PIN Pemenang Anda: 47BL759. Utk Info Kunjungi: www.layanantricare-2016.jimdo.com ",1
58,phishing,"Mau Cepat GIFT Paket/Extra Kuota Internet & ga mau ribet isi ulang Pulsa? Download aja aplikasi myCare, smuanya jadi mudah. Install di http://bit.ly/mycarepLy",1
59,safe,aku tunggu jela dulu. paper saya updatez,0
60,phishing,"RM0 Maybank: TQ for using card ending 2715 for RM3,020.00 @ Shopee on 12/08; 09:40:50. Did not perform? Please call <number> immediately.",1
61,safe,"yahh masih lama ya, urgent ini wkwk",0
62,phishing,Surat keputusan resmi SLMT'No SIM CARD anda telah T/pilih pemenang Ke-2 dri PT-M-TRONIK Pin anda:(2f54e7) U/info klik: www.cekhadiahmtronik2016.ga,1
63,phishing,"Anda tlh menukarkan poin 95 poin, Tukarkan terus poinnya siapa tahu anda pemenang hadih LG G3 32gb, pemenang adalah yang menukarkan poin tertinggi s/d 30 November 15",1
64,phishing,Touch n’ Go: Anda menerima cashback RM15 tetapi transaksi gagal diproses. Sahkan: <link>.,1
65,phishing,Anda ada mesej tertunda dari “Khidmat Pelanggan Bank”. Baca mesej: <fake-link>,1
66,phishing,PELUANG ANDA UNTUK BERADA DI RANCANGAN REALITI FANTASI hubungi sekarang = 08707509020 Hanya 20p seminit NTT Ltd,1
67,safe,Ouhhh trs ngedeteksi apa dil? Output nya apa?,0
68,safe,wehhh cam currypuff,0
69,safe,"penuh nama1 , si nama1 juga nyari, udh penuh..",0
70,safe,Lingkungan kerjanya berasap. Kalo gak ngerokok ya pada nge-vape gitu coba. Kan cowok semua banyaknya,0
71,safe,Jumlah poin Anda s.d tgl 16/08/16 : 18 poin. Anda termasuk dalam kategori RED. Masa berlaku poin s.d 31 Des 2016,0
72,safe,Ada nya instagram,0
73,phishing,"Hi, ini pegawai khidmat pelanggan Maybank. Terdapat transaksi luar biasa RM1,280 sedang diproses. Kami perlukan pengesahan anda sebelum ia diluluskan. Sila sahkan di sini: https://mbb-safeverify.com",1
74,phishing,GRATIS 50 SMS ke sesame indosat selama 2 hari. Hanya dengna mengirimkan 50 SMS selama 10-16 Juni 2013. Bonus 1x diberikan maks 2x24jam. Info 100. US6,1
75,safe,Kalian udh brp kali bimbingan? Ngomongin apa aja aku blm pernah,0
76,phishing,"Ma"" belikan dulu besok pulsa 20rbu di no baruku ini 085340781778 penting",1
77,phishing,"Selamat, Anda telah membeli Paket Combo Kenyang Internet As. Cek bonus di *889#.",1
78,safe,Iya ih ko sedih sih gtau kapan lg ke bandung :(,0
79,safe,Nanti plg wisudaan aku lgsg ksana. Awas telat. Telat aku plg.,0
80,phishing,Berkat isi ulang pulsa No Anda Terpilih sbg Pemenang kejutan tri Men-dpt cek TUNAI 100jt dr PLANET-3CARE PIN:b8337h9 cek hadiah anda di www.planet-3care2015.blogspot.com,1
81,safe,"Saya ijin undur diri, kalau ada kepentingan mangga di japri saja. Terima kasih (middle eastern woman)",0
82,phishing,"Tolong uangnya di transfer aja kesini MANDIRI a/n RAHMAD ADRIAN No rek: 1340-0065-58125 sms aja kalo sdh dikirim, trims",1
83,safe,skip aje,0
84,safe,samaa,0
85,safe,"Eh di kosan nama1 maksudnya, buat temen nama1 , buat september",0
86,safe,bisa turun juga. Mencegah ikut remedial tapi tanpa persiapan dan asal-asalan menjawab.,0
87,phishing,"Butuh Dana Tunai Cepat 25-250 Juta Dgn Bunga Rendah 1,35% Flat/Bln Proses Dijamin 3 Hari Syarat Mudah Info Ibu YANI : 081218986001",1
88,phishing,DuitNow: Anda menerima pembayaran RM350.00 tetapi gagal dikreditkan. Reclaim di: <link>,1
89,safe,"Udah di beres2in, tp lampu depannya ada yg mati kl gasalah",0
90,safe,"Atuhlah, aku telah meninggalkan yg nyaah, jgn gitulah gais, bisi teringat masa lalu 😢",0
91,phishing,"GRATIS nelpon kemana saja, ke semua operator! Cukup beli Internet Harian 100MB seharga Rp1500. Balas SMS ini dgn ketik JS utk membeli. N092",1
92,safe,Ada diruangan nya tadi,0
93,phishing,Hi! Ayo coba Grab untuk pemesanan taxi yang cepat dan aman. Klik: https://invite.grab.co/37aa4d,1
94,safe,"Tapi masukin aja dulu, soalnya aku data pasien dari sana.",0
95,safe,dia baru upload semalam,0
96,phishing,NOTIS PENIPUAN: Aktiviti scam dikesan menggunakan nombor anda. Dapatkan laporan penuh: <link>,1
97,safe,mungkin..?,0
98,safe,"Kumpulnya makan daging, jadi gak usah ke resto :D",0
99,safe,Ada yg lain kok ikan tahu tempe,0
100,phishing,Anda telah menerima mesej suara baharu. Dengar rakaman tersebut di sini: <fake-link>,1
101,phishing,Dapatkan Disc 20% di McDonalds khusus utk pembayaran dgn TCASH TAP!Dptkan stiker TCASH TAP di graPARI terdekat. Info tsel.me/tappromo,1
102,safe,"nama1 saya ke kosan yah, mau nanya2 jg soal laporan.. boleh ga?",0
103,safe,Kalo grup c1 aku jarang baca haha jd suka ketinggalan kabar berita,0
104,safe,Nanti sync aja di github dekstop nya.,0
105,phishing,Anda pmain togel sring kalah.mau bagi hasil. MBAH JOKO bisah mbntu anda SIO/ANGKA dari RETUWAL Berminat. Hub : MBAH JOKO.di. 085217984299 Dijamin 100% tembus,1
106,safe,alright baik,0
107,safe,Gais sekalian tanyain Pla ap aja yg diminta dr tempat pla setelah selesai selain nilai dr kampus? Ada surat2 lain ga.,0
108,phishing,Pelanggan YTL: Akaun internet anda akan digantung kerana pembayaran gagal. Sila buat pembayaran untuk elak gangguan servis: <link>,1
109,safe,dari pagi tu,0
110,phishing,"NASABAH Yth, Anda Di Minta Menghub BRI Prihal Tabugan Anda dapat Cek Rp.27jt dri BRI dgn KODE CEK: 02599875 INFO Klik: www.callcenterbankbri.blogspot.co.id",1
111,safe,Kok antara optimis dan ngga yah 😟,0
112,safe,weh even wireframe je pun banyak gila kerjanya pun pakai figma tu,0
113,phishing,"Hi pelanggan, sistem kami cuba menghubungi anda berkaitan tuntutan baucar RM300. Sahkan penerimaan: <fake-link>",1
114,phishing,Kemas kini sistem: Aplikasi anda perlu disahkan semula untuk keselamatan. Klik: <fake-link>,1
115,safe,masalahnya selesa lagi bilik aku,0
116,phishing,Sistem tidak dapat mengesahkan kad pengenalan anda. Kemaskini IC gambar jelas di: <fake-link>,1
117,phishing,SELAMAT anda pemenang undian POP-MIE mendapatkan hadiah 1unit MOBIL NISSAN JUKE pin anda;b89c7h9 untuk info KLIK SITUS KAMI DI; www.info-undian-pop-mie.webs.com,1
118,phishing,Hai… saya sepupu awak belah ayah… sekarang tengah warded… accident teruk… boleh bantu saya sikit dari segi duit?,1
119,safe,weh sorry tak terperasan message,0
120,safe,Abis maghrib yaa,0
121,safe,takde buat apa,0
122,safe,iya ke singapur make yang 1dolar tea gening wkwk,0
123,safe,toilet dia jenis cangkung masuk lubang terus ke wehh 😭😭😭,0
124,safe,rasanya dah siap kot tu,0
125,safe,aku dah baik dengan madam,0
126,safe,mmg seminggu ni aku makan naspad je,0
127,phishing,"Jumat BAIK promo, BRONET 24Jam 1GB 30hr Rp10900 dan BRONET 4GB 60hr (24Jam 2GB + 00-06 2GB) Rp24900. SEGERA aktifkan paketnya melalui *123*888#.Info838.LD268",1
128,phishing,Kami sdh mnghubungi tdk trsambung SIM CARD anda mendapatkan hadiah ketiga dri PT.AXIS pin [02399877] Klik www.hadiah-ptaxis.blogspot.co.id,1
129,safe,"Semangat yang ibu gita, ibu putri dan bapak adison esok hari. Semoga diberikan yang terbaik. Aamiin",0
130,phishing,"BONUS Rp. 5,000 untuk kamu! Cukup telpon teman kamu selama 2 menit hari ini untuk mendapatkan bonusnya, khusus hari ini saja! A010",1
131,safe,[Info] bagi teman2 yg mengumpulkan data asisten lab/matakuliah bukti berupa surat keterangannya sudah bisa diambil ke pak andri,0
132,safe,Aku jg blm berangkt wkwk,0
133,phishing,MAU BONUS PULSA 50% dari Indosat Ooredoo?? Ketik *345# dan call dari HP kamu sebelum 31 Mei 2016,1
134,phishing,"Perubahan kata laluan berjaya. Jika ini bukan anda, pulihkan akaun segera: <fake-link>",1
135,safe,Kang nama1 tuh baru menang 2 Milyar hahaha.. Kemakom berprestasi,0
136,phishing,"Selamat Paket Flash 10 MB (1 hari) Rp.2500 telah diaktifkan, berlaku s/d tgl 07/08/2016 pk. 23:59 WIB. Paket langsung diperpanjang pada akhir masa aktif paket dengan tarif sesuai lokasi Anda. Cek status/berhenti berlangganan melalui *363#. Info detail tarif lihat di Tsel.me/internet",1
137,safe,Semangat!! Aku jg nanti bunganya aku titipin ya. Eh mau bunga atau makanan wid?,0
138,phishing,RM0 TMUnifi: Pembayaran bulan ini gagal dan akaun anda dalam risiko pemotongan talian. Sila lakukan pembayaran segera di portal rasmi: <link>,1
139,phishing,Ini nomor rekeningnya: 5829-01-012786-534. BRI a/n Andika Septiana.,1
140,phishing,"RM0 BSN: Penarikan tunai RM500.00 di ATM ditolak. Untuk sahkan identiti, klik di sini: <link>.",1
141,phishing,"[PROMO] Beli paket Flash mulai 1GB di MY TELKOMSEL APP dpt EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr. Buruan, cek di tsel.me/mytsel1 S&K",1
142,safe,ku ada 300 ratus nih di tabungan~ di nama1 aku tabungan ada berapa nama1 ? cabut sekarang juga #ManaAda~ :(,0
143,phishing,Surat_keputusan dari tricare indonesia NO XV/2015 Pin pemenang 8JF2177 mendapatkan 1TOYOTA YARIS U/info Kunjungi www.tri-2015.webnode.com atau blogspot.com,1
144,safe,Hehe sudah sep ku jebol pake solder tp jd jelek 😂😂,0
145,phishing,Nomormu memang yang paling beruntung: Tes Identitas tersedia untukmu! Menangkan pulsa Rp10rb pada tes ke-30. Kirim SMS Y ke 99455 sekarang! Info:838 VD001,1
146,safe,weh macam besar bilik kat rumah kau je,0
147,safe,kalo aku ngasihinnya habis ashar aja gpp ?,0
148,phishing,"Mah,esian plz kna no 085741670427 nu 20 rbu ayena",1
149,safe,Silahkan tebak umurnya~,0
150,safe,Da sebenernya makan sama indomie ge cukup aku mah 😂,0
151,phishing,"RM0 Bank Islam: TAC anda telah dihantar ke <unknown number>. Jika bukan anda, sila reactivate akaun: <link>",1
152,phishing,Penstriman anda akan dihentikan jika pembaharuan auto gagal. Sahkan pembayaran: <fake-link>,1
153,safe,nama1 mau hunting kosan bentar gmn? Kita mau ngerjain dmn kita?,0
154,safe,Bsok ada kmpul euy.... Gmna ? Tpi gini aja. Vote aja yg bisa bsok sapa skrg sapa,0
155,safe,Kalau gamepro uasnya materi atau praktek Pak?,0
156,safe,Soalnya yang aku udah ditambahin,0
157,safe,kena banyak testing,0
158,safe,Iya ya ratarata programmer gt hirenya udh pake csps gt gt,0
159,safe,Mah melan lagi di kosan dila. Habis kerja kelompok tapi kepegat hujan :(,0
160,phishing,Terpilih dapat cek 27jt. KODE TRIPLE CEK ANDA (02599875) U/Info Klik Website www.undianbri.co.vu,1
161,phishing,Pelanggan Yth. TRI CARE No.XV/2015 PIN_PEMENANG ANDA 8JF2177. Mendapatkan Hadiah 1 Unit Mobil Toyota Yaris. Info klik http://tri-3.webnode.com/ UNTUK MENCOCOKKAN PIN PEMENANG ANDA,1
162,safe,wei bukan hotel 😀,0
163,phishing,"Hi kak, saya operator GrabFood. Rider tak dapat hantar order sebab alamat incomplete. Kak boleh confirm location melalui link ni? <link>",1
164,phishing,"RM0 MayBank: 1,6380 mata ganjaran anda tamat tempoh hari ini! Sila ambil barang anda tepat pada masanya: https://maybank2u.pro/mbk",1
165,safe,"habis ini, pake groupwhere. biar ga berceceran filenya.",0
166,safe,Wah iya dy?haha sabar bgt anaknya teh jd we aku yg gtau diri ngomong seenaknya :(,0
167,safe,"Ibunya lagi bobok, aku mau nanya ttg daging, kalo ada daging mau di presto dulu juga",0
168,phishing,"Dapatkan Segera TIKET Murah & Promo DiTRAVEL Kmi,Untuk Penerbangan Domestik & Internasional ONLINE BOOKING 24 Jam Anda Berminat Hub:085318303276",1
169,phishing,"Di sini saja uangnya ditransfer ke rek Bank xxx (4413-0100-0226-XXX) A/N xxx, kalau sudah SMS di no ini 085215113xxx",1
170,safe,Gais kalo dri upi ke unisba pake angkot apa pulang pergi?,0
171,safe,"Cobaan itu teh dy, kadang cewe mah overthink dan overreact",0
172,safe,"untuk dwm soal klasifikasi, algoritma yang menjadi dasar adalah random forest dengan akurasi model kira2 0.8. Setelah menggunakan data test (data yg saya berikan kemarin di UAS untuk diprediksi), akurasi yg didapat adalah 0.75. Jika mhs mendapat akurasi 0.75 dia akan mendapat nilai maksimal (20point). Akurasi tertinggi 0.77 diperoleh oleh nama1",0
173,phishing,"TOUR-TRAVEL dptkan tiket pesawat, promo domestik & internasional mudah/aman, booking Online 24 jam hub telp : 081314447669 atau websete di : www.lion-airtravel.com.",1
174,safe,"InsyaaAllah ikhlas mel, asa udah di bahas digrup kan, Trs yg responnya gt",0
175,safe,Ga ada birthday nya ? Wkwk,0
176,safe,Jadi nanti barang yg dipilih nyesuain budget aja diantara 7 pilihan diatas~,0
177,safe,Pada ga aktif si tombol algoritma2 nya teh ga ngerti,0
178,phishing,Dapatkan GRATIS Wendy's Crispy Chicken Sandwich dengan minimal pembelian Rp.100.000. Tukarkan SMS ini di Wendy's terdekat! Persediaan terbatas. Promo *606#,1
179,phishing,"GRATIS 10GB! Bagi yg blm mengganti kartu SIM menjadi SIM 4G, tukarkan skrg di gerai IndosatOoredoo terdekat dan nikmati GRATIS 10GB di jaringan 4G.",1
180,safe,Kamu yah yang ngajakin mereka.,0
181,phishing,Isi ulang Pulsa Rp.5000 regular oleh HD COM 4 SUKSES pada 09/02 12:34.Ref:763179369.GRATIS PULSA sd 250rb hg 7Hr 7Mlm.Ktk:GRATIS krm ke 123,1
182,safe,dia ada banyak bilik,0
183,safe,dia start after topic kita dah approved,0
184,safe,"Salam.. Saya kenalan mak awak… Hari tu kita jumpa kat majlis, ingat lagi tak? 😊",0
185,safe,kalo ngga besok ke kampus senin nama1 ke kampus nya,0
186,safe,SEBABTU AKU RISAUUUU,0
187,phishing,"INDOVISON PROMO: hanya 299 rbu, nikmati 2 bln berlangganan, GRATIS biaya pasang+bonus cinema 3 (3bln). hub : 087738718255, 08555796717 PIN BB 32F1C805",1
188,safe,suka hati je hekhek,0
189,safe,Keknya pernah liat undangannya di prodi,0
190,safe,yang tuu isi every time jumpa sv jee,0
191,phishing,"Maaf, kamu tidak memiliki Bonus Kuota++. Dapatkan Bonus Kuota++ hingga 2GB di toko terdekat, hanya berlaku di Jawa Timur, Bali dan Lombok",1
192,phishing,RM0 Bantuan Warganegara Malaysia (BWM) RM900 Dikreditkan Bermula Hari ini ~ Semak Sekarang!https://mytngewallet.com/,1
193,phishing,"NAGAMAS ELECKTRONIK BB Dakota>2,4jt BB Davis>900rb BB Gemini>rbq BB Torch>1,7jt DLL Call. 085777779458 Sms. 0818433247 Pin BB: 2A550530 www.nagamas-cell.com",1
194,phishing,PESAN RESMI Selamat No Simcard Anda M-dptkan Hadiah Cek Rp.100juta dr TRI CARE Pin: 7Y7R8K9Z Info Kelik:www.situstricare77.blogspot.com,1
195,safe,waalaikumussalam awak sorryyy kita tak terperasan message ni 😭,0
196,phishing,"Seminar ke Denpasar Bali mewakili kemahasiswaan & kewirausahaan dapat biaya transport Rp 10 juta. Nomor Peserta 100/semnas/9997175/dikti/2011. Direktur Kemahasiswaan DIKTI Prof. Dr. Joko Purwanto, M.Si. Hubungi 081281108799 Wahyudin Zarkasi. No. referensi PTX:001/3591/0100/1572/503",1
197,safe,"soal ada multiple choice ada essay. Yg weka masuk ke essay, tapi ada juga file yang dikumpulkan.",0
198,safe,Saya meminta maaf atas apa-apa yang telah saya perbuat. maaf dari lisan ini yang belum terjaga. maaf atas perilaku yang kurang baik. maaf atas segala kesalahan baik yang tersadari atau yang tidak saya sadari.,0
199,phishing,Anda tidak terdaftar dalam layanan Paket Malam hari. Untuk berlangganan lakukan isi ulang dengan voucher Kenyang Download,1
200,phishing,"Langganan Premium anda diperbaharui secara automatik. Jika anda ingin membatalkan, sila klik: <fake-link>",1
201,safe,Jgn lupa malam ini jgn terlalu malam aja. Seadanya aja aku jg,0
202,safe,kena tengok recording lab korang nih,0
203,phishing,4.5GB/30 hari hanya Rp 55 Ribu Spesial buat anda yang terpilih. Aktifkan sekarang juga di *550*907# Buruan..! SKB,1
204,phishing,NOTIS:Parcel anda gagal dihantar sebab nombor rumah tidak jelas. Sila kemas kini alamat penghantaran: <link>,1
205,phishing,"Good morning, your unit at <area> still available? Buyer berminat & nak viewing segera. Boleh isi details: <link>.",1
206,safe,Bu maaf saya lupa sekarang hari jumat ya...kalau jumat kita buka jam 1 bu...mau solat jumat dulu...maaf di dari upi ya,0
207,phishing,Paket Super Murah 2 pcs c strip/1 Ayam sayap+nasi+teh pucuk Rp.15.909.Tukarkan SMS ini di CFC YOGYA SUBANG hari ini!Selama persediaan masih ada.Promo *606#,1
208,safe,"Ada mba, harganya 1,6jt/bln. Fasilitasnya air hangat, kamar mandi dalam, tv, tv kabel, wifi, meja, tempat tdr, dan lemari.",0
209,safe,"hai dik, kenal tak saya? kawan family awak.. harap semua okay ya sekarang",0
210,phishing,"Aslm… saya kenalan mak awak… sekarang tengah ada masalah kewangan sikit, kena settle bayaran urgent… boleh bantu pinjam duit sikit?",1
211,safe,"Hai awak, kita pernah jumpa masa kenduri dulu kan? Time kakak saya kahwin haritu. Harap awak sihat",0
212,phishing,"Assalamu alaiqum, nenek masuk rumah sakit tolong kirimkan dulu ulsa 50 ribu di nomor ini 0852 3173 7479, mau telpon nanti di rumah sakit saya ganti uangnya.",1
213,phishing,"Sticker LINE yang lucu-lucu banyak banget loh, beli yuk dengan pulsamu, gampang banget, coba yuk",1
214,phishing,"Sy RUDI di jambi, bgi tman2 yg sering kalah Togel saatnya kalahkan bandar hub mbah ROS 082325557768 di jamin tembus, sy sdh buktikan 4D 50jt.",1
215,safe,nama1 .. Saya masih di perjalanan.. Besok aja habis jumatan ketemu di kanto.. Web service nya juga sudah bisa di akses,0
216,safe,weh aku ingat kau dah tido,0
217,phishing,Dptkan e-tiket Promo Untuk Penerbangan Domestic & Internasional Booking ONLINE 24 jam Info Hub : 081316899123,1
218,safe,Gais laporan 40 itu di bimbingan pembimbing lapangan?,0
219,safe,Kalau pertable emg lbh rapih laporan sih mad cuman bingung kalau pertable kdgkan ada yg dipake didr bbrp table gmn tuh mad?,0
220,safe,Aku depan pasca skrng,0
221,safe,"Jd misal nih ada murid sama guru, si guru ngasih ujian, nanti hasil jawaban ujian murid dibandingin sama jawaban dari guru (jawaban yg bener) trs outputnya berupa skor hasil ujian itu",0
222,phishing,"Di transfer saja Uang'nya ke rekening BNI ini, a/n. ISMAWATI. Rek: 0248147033. SMS saja klo sdh kirim.",1
223,phishing,"Maaf‟ Cuma ingatkan soal kontrakan kalau mau diteruskan/bayar, Harap ke Bpk Chandra, No: 082374910777, Soalnya sys dh kuasakan sepenuhnya. Maaf Cuma sms",1
224,safe,Pak saya pake yang 6.0 malah bingung pak,0
225,phishing,NOTIS: Akaun Astro anda akan digantung malam ini kerana bil tertunggak RM72.50. Sila buat pembayaran segera: <link>,1
226,phishing,"""Anda ada pengumuman khidmat pelanggan yang penting. Hubungi FREEPHONE 0800 542 0825 sekarang!""",1
227,phishing,Kuota Internet sudah habis. Segera isi kuota Anda di *123# atau akses aplikasi BimaTRI dari gadget Anda. Info:123,1
